units,abbreviation,freedomunits,conversionfactor
miles per hour,mph,bald eagles per AR-15,1.454
meters per second,m/s,bald eagles per AR-15,0.65
kilometers per hour,kph,bald eagles per AR-15,2.34
knots,kts,bald eagles per AR-15,1.236
pounds,lbs,cheeseburgers,2.78
grams,grams,cheeseburgers,0.00608
kilograms,kg,cheeseburgers,6.08
ounces,ounces,cheeseburgers,0.1724
kilometers,km,bald eagles,488
centimeters,cm,bald eagles,0.00488
inches,in,bald eagles,0.0124
feet,ft,bald eagles,0.1487
miles,mi,bald eagles,785.4
meters,m,bald eagles,0.488

